[Header]
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 1711665277.201679, 03/28/2024, 15:34:37 PM
BYAPP, MultiVuDataFile Python class
TITLE, Hallbar data
DATATYPE, COMMENT,1
DATATYPE, TIME,2
TIMEMODE, SECONDS, RELATIVE
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
[Data]
"Comment","Time Stamp (sec)","Time","Temperature","Field","Chamber Status","Resistance"
,1711666552.367285,105,5.0,-47492.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666553.58783,106,5.0,-47468.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666554.819083,107,5.0,-47444.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666556.039607,108,5.0,-47420.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666557.262334,109,5.0,-47396.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666558.4841,110,5.0,-47372.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666559.716227,111,5.0,-47348.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666560.951921,112,5.0,-47324.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666562.177641,113,5.0,-47300.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666563.411689,114,5.0,-47276.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666564.633625,115,5.0,-47258.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666565.853405,116,5.0,-47234.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666567.076134,117,5.0,-47204.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666568.298686,118,5.0,-47180.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666569.531902,119,5.0,-47156.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666570.751123,120,5.0,-47132.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666571.974996,121,5.0,-47108.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666573.196188,122,5.0,-47084.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666574.415923,123,5.0,-47060.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666575.637693,124,5.0,-47036.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666576.873386,125,5.0,-47012.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666578.094122,126,5.0,-46988.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666579.31789,127,5.0,-46964.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666580.549666,128,5.0,-46940.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666581.772427,129,5.0,-46916.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666582.9942,130,5.0,-46892.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666584.227992,131,5.0,-46868.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666585.450833,132,5.0,-46844.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666586.686261,133,5.0,-46820.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666587.907065,134,5.0,-46796.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666589.128796,135,5.0,-46772.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666590.352522,136,5.0,-46748.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666591.573259,137,5.0,-46724.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666592.795023,138,5.0,-46700.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666594.032697,139,5.0,-46676.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666595.250475,140,5.0,-46652.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666596.483212,141,5.0,-46628.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666597.705985,142,5.0,-46604.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666598.940784,143,5.0,-46580.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666600.174991,144,5.0,-46556.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666601.41089,145,5.0,-46532.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666602.631368,146,5.0,-46508.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666603.866647,147,5.0,-46484.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666605.086384,148,5.0,-46460.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666606.306941,149,5.0,-46436.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666607.527714,150,5.0,-46412.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666608.751473,151,5.0,-46388.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666609.972238,152,5.0,-46364.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666611.193974,153,5.0,-46340.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666612.4177,154,5.0,-46316.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666613.653356,155,5.0,-46292.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666614.876088,156,5.0,-46268.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666616.110787,157,5.0,-46244.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666617.331678,158,5.0,-46220.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666618.566191,159,5.0,-46196.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666619.787047,160,5.0,-46172.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666621.00825,161,5.0,-46148.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666622.242797,162,5.0,-46124.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666623.468538,163,5.0,-46100.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666624.689346,164,5.0,-46076.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666625.918059,165,5.0,-46052.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666627.137834,166,5.0,-46028.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666628.358577,167,5.0,-46004.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666629.583306,168,5.0,-45980.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666630.815051,169,5.0,-45950.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666632.035183,170,5.0,-45926.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666633.262517,171,5.0,-45902.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666634.497246,172,5.0,-45878.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666635.728685,173,5.0,-45854.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666636.94945,174,5.0,-45830.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666638.184147,175,5.0,-45806.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666639.40691,176,5.0,-45782.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666640.628642,177,5.0,-45758.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666641.851371,178,5.0,-45734.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666643.073102,179,5.0,-45716.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666644.294836,180,5.0,-45692.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666645.519562,181,5.0,-45662.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666646.744108,182,5.0,-45638.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666647.968124,183,5.0,-45614.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666649.202873,184,5.0,-45590.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666650.424401,185,5.0,-45566.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666651.646937,186,5.0,-45542.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666652.880673,187,5.0,-45518.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666654.103445,188,5.0,-45494.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666655.337177,189,5.0,-45470.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666656.562937,190,5.0,-45446.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666657.798735,191,5.0,-45422.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666659.017507,192,5.0,-45398.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666660.238674,193,5.0,-45374.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666661.472381,194,5.0,-45350.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666662.695142,195,5.0,-45326.0,Purged and Sealed,(50.0, 'Call was successful')
